neighborhood,date,time,day of week
Server,1/7/19,1100,Monday
Server,1/7/19,1100,Monday
Server,1/7/19,1130,Monday
Bartender,1/7/19,1130,Monday
Bartender,1/8/19,1100,Tuesday
Hostess,1/8/19,1100,Tuesday
Bartender ,1/8/19,1130,Tuesday
Server,1/8/19,1130,Tuesday
Server,1/9/19,1100,Wednesday
Server,1/9/19,1100,Wednesday
Server,1/9/19,1130,Wednesday
Server,1/9/19,1130,Wednesday
Server,1/10/19,1100,Thursday
Bartender,1/10/19,1100,Thursday
Bartender,1/10/19,1130,Thursday
Hostess,1/10/19,1130,Thursday
Bartender ,1/10/19,1200,Thursday
Server,1/10/19,1200,Thursday
Server,1/11/19,1100,Friday
Server,1/11/19,1100,Friday
Server,1/11/19,1130,Friday
Bartender,1/11/19,1130,Friday
Bartender,1/11/19,1200,Friday
Hostess,1/11/19,1200,Friday
Bartender ,1/11/19,1230,Friday
Server,1/11/19,1230,Friday
Bartender ,1/14/19,1100,Monday
Server,1/14/19,1100,Monday
