neighborhood,date,time,day of week
Greenwich,1/7/2019,1100,Monday
Greenwich,1/7/2019,1130,Monday
Greenwich,1/8/2019,1100,Tuesday
Greenwich,1/8/2019,1130,Tuesday
Greenwich,1/9/2019,1100,Wednesday
Greenwich,1/9/2019,1130,Wednesday
Greenwich,1/10/2019,1100,Thursday
Greenwich,1/10/2019,1130,Thursday
Greenwich,1/10/2019,1200,Thursday
Greenwich,1/11/2019,1100,Friday
Greenwich,1/11/2019,1130,Friday
Greenwich,1/11/2019,1200,Friday
Greenwich,1/11/2019,1230,Friday
Greenwich,1/12/2019,1100,Saturday
Greenwich,1/12/2019,1130,Saturday
Greenwich,1/12/2019,1200,Saturday
Greenwich,1/12/2019,1230,Saturday
Greenwich,1/12/2019,1300,Saturday
Greenwich,1/13/2019,1100,Sunday
Greenwich,1/13/2019,1130,Sunday
Greenwich,1/13/2019,1200,Sunday
Greenwich,1/13/2019,1230,Sunday
Greenwich,1/13/2019,1300,Sunday
Greenwich,1/13/2019,1330,Sunday
Greenwich,1/13/2019,1400,Sunday
Greenwich,1/14/2019,1100,Monday
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
